On website?,Film Title,Year,Original story (novel or short),Story author,Story Year,Setting,Director,Studio,Genre,Availability,Notes,Film URL,Sources,Research Portfolio Available,Do I have a copy?,notes on my copy
TRUE,Rebecca of Sunnybrook Farm,1917,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,Maine,Marshall Neilan,Mary Pickford Company,Drama,Online,Better copy might exist on DVD,,,,TRUE,terrible quality
FALSE,Rebecca of Sunnybrook Farm,1932,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,Maine,Alfred Santell,20th Century Fox,,Survives,at UCLA,,,,FALSE,
FALSE,Rebecca of Sunnybrook Farm,1938,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,Maine,Allan Dwan,20th Century Fox,"Musical,Comedy",DVD,,,,,FALSE,
FALSE,Nobody's Kid,1921,Mary Cary,Kate Langley Bosher,1910,? orphanage,Howard Hickman,Robertson-Cole Pictures Corp,"Comedy,Drama",Survives,at loc,,,,FALSE,
TRUE,I Remember Mama,1948,Mama's Bank Account,Kathryn Forbes,1943,northern california - SF,George Stevens,RKO,Drama,DVD,,,,checked,FALSE,
FALSE,The Silent Woman,1918,,Lois Zellner,,Pacific Northwest,Herbert Blache,Metro Pictures,Drama,Lost,,,,,FALSE,
FALSE,Lucy Gallant,1955,"The Life of Lucy Gallant/""The Longest Day of the Year""",Margaret Cousins,1953,Texas,Robert Parrish,Paramount,"Drama,Western",Online,on youtube,,,,FALSE,
TRUE,The Awakening of Helena Richie,1916,The Awakening of Helena Richie,Margaret Deland,1906,Great Lakes Region - Western PA,John W. Noble,Rolfe Photoplays,Drama,Incomplete,incomplete print at loc,,,,FALSE,
TRUE,The Iron Woman,1916,The Iron Woman,Margaret Deland,1911,Great Lakes Region - Western PA,Carl Harbaugh,Popular Plays and Players,Drama,Lost,lost per LOC,,,,FALSE,
TRUE,Gone with the Wind,1939,Gone with the Wind,Margaret Mitchell,1936,Deep South (Georgia),Victor Fleming,Selznick International,Romance,DVD,,,,,FALSE,
FALSE,Linda,1929,Linda,Margaret Prescott Montague,1912,? lumber stuff,Dorothy Davenport,Mrs. Wallace Reid Productions,Melodrama,Online,,https://archive.org/details/linda_1929,,,FALSE,
FALSE,The Curse of Quon Gwon,1917,-,Marion Wong,,northern california - SF,Marion Wong,The Mandarin Film Company,Drama,Online,survives incomplete,,,,FALSE,
TRUE,The Yearling,1946,The Yearling,Marjorie Kinnan Rawlings,1938,Central Florida,Clarence Brown,MGM,Drama,DVD,,,,checked,TRUE,
TRUE,The Sun Comes Up,1949,Mountain Prelude,Marjorie Kinnan Rawlings,1947,Appalachia,Richard Thorpe,MGM,"Musical,Drama",Online,A Lassie film,http://www.youtube.com/watch?v=38H4WuTLza8,,,FALSE,
TRUE,Bright Road,1953,“See How They Run”,Mary Elizabeth Vroman,1951,Deep South,Gerald Mayer,MGM,Drama,DVD,WOC author,,,,FALSE,
FALSE,My Friend Flicka,1943,My Friend Flicka,Mary O'Hara,1941,Wyoming,Harold Schuster,20th Century Fox,,DVD,,,,,FALSE,
FALSE,Thunderhead: Son of Flicka,1945,Thunderhead,Mary O'Hara,1943,wyoming,Louis King,20th Century Fox,,DVD,,,,,FALSE,
FALSE,The Green Grass of Wyoming,1948,The Green Grass of Wyoming,Mary O'Hara,1946,Wyoming,Louis King,20th Century Fox,,DVD,with flicka movies,,,,FALSE,
TRUE,The Mountain Rat,1914,"""The Mountain Rat""",Mary Rider,1914,West,James Kirkwood Sr.,Biograph,Western,Lost,"lost per LOC: https://en.wikisource.org/wiki/7,200_Lost_U.S._Silent_Feature_Films_(1912-29)_(2021-02-04)",,,,FALSE,
FALSE,Sunshine Alley,1917,,Mary Rider,,the city,John W. Noble,Goldwyn Pictures,,Lost,lost per LOC,,,,FALSE,
TRUE,An Alabaster Box,1917,An Alabaster Box,Mary Wilkins Freeman,1917,New England,Chester Withey,Vitagraph,Drama,Lost,lost per LOC,,,,FALSE,
FALSE,False Evidence,1919,Madelon of the Redwoods,Mary Wilkins Freeman,1896,Northern California,Edwin Carewe,Metro Pictures,Drama,Unknown,Wikipedia stub,,,,FALSE,
FALSE,Little Miss Smiles,1922,Little Aliens,Myra Kelly,1910,NYC,John Ford,Fox Film Corporation,Drama,Lost,,,,,FALSE,
FALSE,The Vanishing Virginian,1942,The Vanishing Virginian,Rebecca Yancey Williams,1940,Virginia,Frank Borzage,MGM,Drama,DVD,,,,,FALSE,
TRUE,The Primrose Ring,1917,The Primrose Ring,Ruth Sawyer,1915,,Robert Leonard,Jesse Lasky,Drama,Lost,lost per LOC,,,,FALSE,
FALSE,Sparrows,1926,,Winnifred Dunn,,southern swamplands,William Beaudine,United Artists,Drama,DVD,,SPARROWS - 4K RESTORATION - Blu-ray+DVD Combo - VCI Entertainment,,,FALSE,
FALSE,Miss Lulu Bett,1921,Miss Lulu Bett,Zona Gale,1920,Midwest,,,,,,,,,FALSE,
